"id","file_path","url","slug","title","meta_description","content_type","macrocluster","subcluster","category","tags","publication_date","last_updated","word_count","hub_url","pillar_url","internal_links_out","internal_links_in","orphan_status","canonical","status","intent","primary_keyword","secondary_keywords","search_console_status","optimization_status","freshness_status","duplicate_risk","cannibalization_risk","action_required","priority","notes"
"ART-0051","articles/fim-do-visto-brasil-eua-entenda-proposta-2026.html","https://familiausa1.com/articles/fim-do-visto-brasil-eua-entenda-proposta-2026.html","fim-do-visto-brasil-eua-entenda-proposta-2026","Fim do visto americano para brasileiros? Entenda a proposta","Entenda a fala sobre fim do visto entre Brasil e EUA, o que seria necessário para virar regra e por que brasileiros ainda precisam de visto.","article","vistos","Visto americano","Visto americano","","2026-05-31","2026-05-31","1426","/categorias/visto-americano.html","/articles/guia-completo-visto-americano-2026.html","5","0","orfao","https://familiausa1.com/articles/fim-do-visto-brasil-eua-entenda-proposta-2026.html","publicado","noticiosa/explicativa","Fim do visto americano para brasileiros? Entenda a proposta","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","alta","clusters complementares: saude"
"ART-0052","articles/florida-vs-massachusetts-imigrantes.html","https://familiausa1.com/articles/florida-vs-massachusetts-imigrantes.html","florida-vs-massachusetts-imigrantes","Flórida x Massachusetts: melhor para imigrante?","Flórida x Massachusetts: veja custo de vida, trabalho, clima, impostos, comunidade brasileira e pontos positivos e negativos.","article","trabalho","Onde morar nos EUA","Onde morar nos EUA","","2026-05-01","2026-05-22","839","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","8","6","recebe links","https://familiausa1.com/articles/florida-vs-massachusetts-imigrantes.html","precisa atualizar","decisao/comparativa","Flórida x Massachusetts: qual o melhor estado para imigrante?","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: cidades; custo de vida"
"ART-0053","articles/formas-legais-conseguir-green-card-eua-2026.html","https://familiausa1.com/articles/formas-legais-conseguir-green-card-eua-2026.html","formas-legais-conseguir-green-card-eua-2026","Green card nos EUA: caminhos legais reais em 2026","Entenda os caminhos legais mais reais para green card nos EUA em 2026: família, casamento, trabalho, NIW, EB-1, investimento e cuidados.","article","imigracao","Imigração e legalização","Imigração e legalização","","2026-05-21","2026-05-25","1698","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","7","39","recebe links","https://familiausa1.com/articles/formas-legais-conseguir-green-card-eua-2026.html","publicado","informacional","Green card nos EUA: caminhos legais reais 2026","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: green card; trabalho"
"ART-0054","articles/fraude-migratoria-eua-brasileiros-presos-florida.html","https://familiausa1.com/articles/fraude-migratoria-eua-brasileiros-presos-florida.html","fraude-migratoria-eua-brasileiros-presos-florida","Fraude migratória nos EUA na Flórida | FamiliaUSA1","Entenda o caso de fraude migratória na Flórida envolvendo brasileiros, work permit, asilo e os alertas para evitar golpes nos EUA.","article","imigracao","Fraude migratória EUA","Fraude migratória EUA","","2026-04-24","2026-05-22","1056","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","8","4","recebe links","https://familiausa1.com/articles/fraude-migratoria-eua-brasileiros-presos-florida.html","publicado","informacional","Fraude migratória nos EUA na Flórida: brasileiros presos após esquema co","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: asilo e processos; cidades"
"ART-0055","articles/green-card-nova-regra-uscis-brasileiros-sair-dos-eua-2026.html","https://familiausa1.com/articles/green-card-nova-regra-uscis-brasileiros-sair-dos-eua-2026.html","green-card-nova-regra-uscis-brasileiros-sair-dos-eua-2026","Green card fora dos EUA: nova regra preocupa brasileiros em 2026","Relatório diário mostra que green card, USCIS e processo consular seguem entre os principais assuntos de imigração. Entenda o impacto para brasileiros nos EUA.","article","imigracao","Imigração nos EUA","Imigração nos EUA","","2026-05-23","2026-05-27","1444","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","4","9","recebe links","https://familiausa1.com/articles/green-card-nova-regra-uscis-brasileiros-sair-dos-eua-2026.html","publicado","informacional","Green card fora dos EUA: nova regra preocupa brasileiros 2026","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: green card"
"ART-0056","articles/green-card-regras-mais-rigidas-pedido-fora-dos-eua-2026.html","https://familiausa1.com/articles/green-card-regras-mais-rigidas-pedido-fora-dos-eua-2026.html","green-card-regras-mais-rigidas-pedido-fora-dos-eua-2026","Green card com regras mais rígidas: pedido fora dos EUA e cuidados para brasileiros | FamiliaUSA1","Entenda possíveis regras mais rígidas para green card, pedido fora dos EUA, ajuste de status, riscos de sair do país, quem pode ser afetado e cuidados para brasileiros.","article","imigracao","Imigração e legalização","Imigração e legalização","","2026-05-24","2026-06-04","1227","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","3","4","recebe links","https://familiausa1.com/articles/green-card-regras-mais-rigidas-pedido-fora-dos-eua-2026.html","publicado","informacional","Green card com regras mais rígidas: pedido fora dos EUA e cuidados para","","nao informado","sem acao recente registrada","atual","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: green card; familia e escola"
"ART-0057","articles/guia-completo-disney-orlando-2026-brasileiros.html","https://familiausa1.com/articles/guia-completo-disney-orlando-2026-brasileiros.html","guia-completo-disney-orlando-2026-brasileiros","Guia completo da Disney Orlando 2026 para brasileiros","Guia completo da Disney Orlando 2026 para brasileiros: parques, ingressos, custos, alimentação, estacionamento, roteiro e dicas para família.","article","orlando e viagem","Orlando e Disney","Orlando e Disney","","2026-05-23","2026-05-23","1362","/categorias/orlando-e-viagem.html","/articles/guia-completo-orlando-2026-brasileiros.html","4","2","recebe links","https://familiausa1.com/articles/guia-completo-disney-orlando-2026-brasileiros.html","publicado","informacional/pratica","Guia completo da Disney Orlando 2026 para brasileiros","","nao informado","sem acao recente registrada","revisar freshness","baixo","possivel sobreposicao: guia-completo-orlando-2026-brasileiros","avaliar diferenciacao editorial","baixa","clusters complementares: custo de vida; orlando e viagem"
"ART-0058","articles/guia-completo-orlando-2026-brasileiros.html","https://familiausa1.com/articles/guia-completo-orlando-2026-brasileiros.html","guia-completo-orlando-2026-brasileiros","Guia completo de Orlando em 2026 para brasileiros","Guia de Orlando 2026 para brasileiros: visto, Disney, Universal, compras, hospedagem, carro, custos, crianças e erros para evitar.","article","orlando e viagem","Orlando e Disney","Orlando e Disney","","2026-05-19","2026-05-22","892","/categorias/orlando-e-viagem.html","/articles/guia-completo-orlando-2026-brasileiros.html","9","22","recebe links","https://familiausa1.com/articles/guia-completo-orlando-2026-brasileiros.html","precisa atualizar","informacional/pratica","Guia completo de Orlando 2026 para brasileiros: viagem, parques, compras","","nao informado","sem acao recente registrada","revisar freshness","baixo","possivel sobreposicao: guia-completo-disney-orlando-2026-brasileiros","avaliar diferenciacao editorial","media","clusters complementares: cidades; custo de vida"
"ART-0059","articles/guia-completo-visto-americano-2026.html","https://familiausa1.com/articles/guia-completo-visto-americano-2026.html","guia-completo-visto-americano-2026","Guia completo do visto americano em 2026","Guia do visto americano 2026 para brasileiros: tipos de visto, DS-160, taxa, entrevista, documentos e erros para evitar.","article","vistos","Visto americano","Visto americano","","2026-05-19","2026-05-22","1488","/categorias/visto-americano.html","/articles/guia-completo-visto-americano-2026.html","9","30","recebe links","https://familiausa1.com/articles/guia-completo-visto-americano-2026.html","publicado","informacional/pratica","Guia completo do visto americano 2026: tudo que brasileiros precisam sab","","nao informado","sem acao recente registrada","revisar freshness","baixo","possivel sobreposicao: como-renovar-visto-americano-2026","avaliar diferenciacao editorial","baixa","clusters complementares: saude"
"ART-0060","articles/imigrar-para-os-eua-depois-dos-50-anos.html","https://familiausa1.com/articles/imigrar-para-os-eua-depois-dos-50-anos.html","imigrar-para-os-eua-depois-dos-50-anos","Imigrar para os EUA depois dos 50 anos vale a pena?","Veja desafios, vantagens, custos e realidade de imigrar para os EUA depois dos 50 anos. Guia realista para brasileiros.","article","custo de vida","Vida real nos EUA","Vida real nos EUA","","2026-05-01","2026-05-22","1366","/categorias/custo-de-vida.html","/articles/custo-de-vida-nos-eua-2026-atualizado.html","12","2","recebe links","https://familiausa1.com/articles/imigrar-para-os-eua-depois-dos-50-anos.html","publicado","investigativa/comparativa","Imigrar para os EUA depois dos 50 anos vale a pena?","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: vida pratica"
"ART-0061","articles/iphone-nos-eua-vale-a-pena-2026.html","https://familiausa1.com/articles/iphone-nos-eua-vale-a-pena-2026.html","iphone-nos-eua-vale-a-pena-2026","Quanto custa um iPhone nos EUA em 2026? Vale a pena?","Veja quanto custa um iPhone nos Estados Unidos em 2026, como calcular imposto, dólar, garantia e quando a compra realmente compensa.","article","compras","iPhone e eletronicos","Compras nos EUA","","2026-05-21","2026-07-10","1921","/categorias/compras-nos-eua.html","/articles/vale-a-pena-fazer-compras-nos-eua-2026.html","7","17","recebe links","https://familiausa1.com/articles/iphone-nos-eua-vale-a-pena-2026.html","atualizado","investigativa/comparativa","Quanto custa um iPhone nos EUA 2026 e quando vale a pena comprar?","quanto e um iphone nos estados unidos 2026","1 clicks / 264 impressoes; prioridade alta","otimizado PR #18; observar 28 dias","recente","baixo","baixo","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: compras"
"ART-0062","articles/itin-ssn-conta-bancaria-nos-eua.html","https://familiausa1.com/articles/itin-ssn-conta-bancaria-nos-eua.html","itin-ssn-conta-bancaria-nos-eua","ITIN, SSN e conta bancária nos EUA","Entenda ITIN, SSN, conta bancária, crédito e cuidados para brasileiros organizarem a vida financeira nos EUA.","article","banco e credito","Banco e crédito","Banco e crédito","","2026-05-21","2026-05-22","816","/categorias/banco-credito.html","/articles/como-abrir-conta-em-banco-nos-eua.html","7","2","recebe links","https://familiausa1.com/articles/itin-ssn-conta-bancaria-nos-eua.html","precisa atualizar","informacional","ITIN, SSN e conta bancária nos EUA: o que brasileiros precisam saber","","nao informado","sem acao recente registrada","revisar freshness","baixo","possivel sobreposicao: conta-bancaria-empresarial-eua","avaliar diferenciacao editorial","media","clusters complementares: moradia; banco e credito"
"ART-0063","articles/kissimmee-ou-orlando-onde-morar-2026.html","https://familiausa1.com/articles/kissimmee-ou-orlando-onde-morar-2026.html","kissimmee-ou-orlando-onde-morar-2026","Kissimmee ou Orlando em 2026: onde vale mais a pena morar? | FamiliaUSA1","Comparativo Kissimmee ou Orlando em 2026 para brasileiros: custo de vida, aluguel, trabalho, escolas, parques, carro, distância e adaptação familiar.","article","trabalho","Comparativo de cidades","Comparativo de cidades","","2026-06-02","2026-06-02","899","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","4","1","recebe links","https://familiausa1.com/articles/kissimmee-ou-orlando-onde-morar-2026.html","precisa atualizar","decisao/comparativa","Kissimmee ou Orlando 2026: onde vale mais a pena morar?","kissimmee ou orlando","3 clicks / 80 impressoes; prioridade media","sem acao recente registrada","atual","baixo","possivel sobreposicao: vale-a-pena-morar-em-orlando-ou-tampa-2026; vale-a-pena-morar-nos-eua-2026","avaliar diferenciacao editorial","media","clusters complementares: cidades; custo de vida"
"ART-0064","articles/legalizar-pela-fronteira-eua.html","https://familiausa1.com/articles/legalizar-pela-fronteira-eua.html","legalizar-pela-fronteira-eua","É possível se legalizar entrando pela fronteira?","Entenda se é possível se legalizar entrando pela fronteira dos EUA, os riscos, asilo, processo legal e mitos em 2026.","article","imigracao","Imigração e fronteira","Imigração e fronteira","","2026-05-01","2026-05-22","911","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","8","4","recebe links","https://familiausa1.com/articles/legalizar-pela-fronteira-eua.html","publicado","informacional","É possível se legalizar entrando pela fronteira dos EUA?","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: asilo e processos"
"ART-0065","articles/leis-estranhas-dos-estados-unidos-brasileiros-2026.html","https://familiausa1.com/articles/leis-estranhas-dos-estados-unidos-brasileiros-2026.html","leis-estranhas-dos-estados-unidos-brasileiros-2026","Leis estranhas dos Estados Unidos que brasileiros precisam conhecer","Conheça leis e regras dos Estados Unidos que surpreendem brasileiros: trânsito, álcool, crianças, gorjeta, compras, escola, aluguel e costumes em 2026.","article","custo de vida","Choque cultural","Choque cultural","","2026-05-21","2026-05-22","1661","/categorias/custo-de-vida.html","/articles/custo-de-vida-nos-eua-2026-atualizado.html","7","11","recebe links","https://familiausa1.com/articles/leis-estranhas-dos-estados-unidos-brasileiros-2026.html","publicado","informacional","Leis estranhas dos Estados Unidos que brasileiros precisam conhecer","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: moradia; compras"
"ART-0066","articles/lula-nos-eua-trump-impactos-brasileiros-2026.html","https://familiausa1.com/articles/lula-nos-eua-trump-impactos-brasileiros-2026.html","lula-nos-eua-trump-impactos-brasileiros-2026","Lula nos EUA: o que a reunião com Trump pode mudar","Lula nos EUA: entenda reunião com Trump, comércio, tarifas, minerais críticos, imigração, fronteira e impactos para brasileiros.","article","imigracao","Relação Brasil-EUA","Relação Brasil-EUA","","2026-05-07","2026-05-22","1085","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","7","0","orfao","https://familiausa1.com/articles/lula-nos-eua-trump-impactos-brasileiros-2026.html","publicado","noticiosa/explicativa","Lula nos EUA: o que a reunião com Trump pode mudar para brasileiros","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","alta","clusters complementares: saude; noticias e alertas"
"ART-0067","articles/maior-dificuldade-imigrante-eua.html","https://familiausa1.com/articles/maior-dificuldade-imigrante-eua.html","maior-dificuldade-imigrante-eua","Maior Dificuldade do Imigrante nos EUA | Moradia e Realidade","Descubra a maior dificuldade do imigrante nos EUA em 2026: moradia, aluguel, custo de vida, cultura e trabalho na Flórida.","article","trabalho","Vida real nos EUA","Vida real nos EUA","","2026-04-28","2026-05-22","924","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","9","5","recebe links","https://familiausa1.com/articles/maior-dificuldade-imigrante-eua.html","publicado","informacional","A Maior Dificuldade do Imigrante nos EUA 2026 (E Quase Ninguém Fala Diss","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: cidades; custo de vida"
"ART-0068","articles/melhores-outlets-orlando-2026.html","https://familiausa1.com/articles/melhores-outlets-orlando-2026.html","melhores-outlets-orlando-2026","Melhores outlets de Orlando em 2026","Veja os melhores outlets de Orlando em 2026, diferenças entre outlet, shopping, Walmart e Target, compras, impostos, bagagem e dicas.","article","compras","Orlando e compras","Orlando e compras","","2026-05-19","2026-05-22","872","/categorias/compras-nos-eua.html","/articles/vale-a-pena-fazer-compras-nos-eua-2026.html","9","11","recebe links","https://familiausa1.com/articles/melhores-outlets-orlando-2026.html","precisa atualizar","decisao/comparativa","Melhores outlets de Orlando 2026: onde comprar mais barato e o que vale","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: compras; orlando e viagem"
"ART-0069","articles/miami-ou-fort-lauderdale-onde-morar-2026.html","https://familiausa1.com/articles/miami-ou-fort-lauderdale-onde-morar-2026.html","miami-ou-fort-lauderdale-onde-morar-2026","Miami ou Fort Lauderdale em 2026: qual cidade escolher para morar? | FamiliaUSA1","Comparativo Miami ou Fort Lauderdale em 2026 para brasileiros: custo de vida, aluguel, trabalho, praia, aeroporto, escolas, carro e vida em South Florida.","article","trabalho","Comparativo de cidades","Comparativo de cidades","","2026-06-02","2026-06-02","860","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","5","2","recebe links","https://familiausa1.com/articles/miami-ou-fort-lauderdale-onde-morar-2026.html","precisa atualizar","decisao/comparativa","Miami ou Fort Lauderdale 2026: qual cidade escolher para morar?","","nao informado","sem acao recente registrada","atual","baixo","possivel sobreposicao: boca-raton-ou-fort-lauderdale-onde-morar-2026","avaliar diferenciacao editorial","media","clusters complementares: cidades; custo de vida"
"ART-0070","articles/miami-ou-orlando-onde-morar-2026.html","https://familiausa1.com/articles/miami-ou-orlando-onde-morar-2026.html","miami-ou-orlando-onde-morar-2026","Miami ou Orlando: onde morar na Flórida em 2026?","Compare Miami ou Orlando em 2026 para morar: custo de vida, aluguel, trabalho, escola, comunidade brasileira, carro e adaptação.","article","trabalho","Comparativo de cidades","Comparativo de cidades","","2026-06-02","2026-07-10","1066","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","3","2","recebe links","https://familiausa1.com/articles/miami-ou-orlando-onde-morar-2026.html","atualizado","decisao/comparativa","Miami ou Orlando 2026: onde morar na Flórida sendo brasileiro?","morar orlando; miami ou orlando","1 clicks / 163 impressoes; prioridade alta","otimizado PR #18; observar 28 dias","recente","baixo","baixo","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: cidades; custo de vida"
"ART-0071","articles/morar-em-boston-2026.html","https://familiausa1.com/articles/morar-em-boston-2026.html","morar-em-boston-2026","Morar em Boston em 2026: custo, trabalho e brasileiros","Veja se vale a pena morar em Boston em 2026, com custo de vida, aluguel, trabalho, frio, transporte e alternativas como Framingham.","article","trabalho","Massachusetts","Massachusetts","","2026-06-02","2026-07-10","1501","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","3","12","recebe links","https://familiausa1.com/articles/morar-em-boston-2026.html","atualizado","investigativa/comparativa","Morar em Boston 2026: custo de vida, trabalho e comunidade brasileira","boston; morar em boston; custo de vida em boston; boston e bom para morar","5 clicks / 537 impressoes; prioridade maxima","otimizado PR #18; observar 28 dias","recente","baixo","possivel sobreposicao: morar-em-manchester-new-hampshire-2026","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: cidades; custo de vida"
"ART-0072","articles/morar-em-cambridge-massachusetts-2026.html","https://familiausa1.com/articles/morar-em-cambridge-massachusetts-2026.html","morar-em-cambridge-massachusetts-2026","Morar em Cambridge MA: custo, Harvard e MIT em 2026","Veja como é morar em Cambridge, Massachusetts, em 2026, com custo de vida, aluguel, Harvard, MIT, biotech, transporte e Boston.","article","cidades","cidades do Norte e Massachusetts","Massachusetts","","2026-06-02","2026-07-10","1442","/categorias/cidades-da-florida.html","/articles/cidades-da-florida-com-mais-brasileiros-2026.html","3","4","recebe links","https://familiausa1.com/articles/morar-em-cambridge-massachusetts-2026.html","atualizado","informacional/pratica","Morar em Cambridge 2026: custo de vida, Harvard, MIT e trabalho","cambridge massachusetts custo de vida","2 clicks / 92 impressoes; prioridade media/alta","otimizado PR #18; observar 28 dias","recente","baixo","baixo","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: custo de vida; moradia"
"ART-0073","articles/morar-em-cape-coral-florida-2026.html","https://familiausa1.com/articles/morar-em-cape-coral-florida-2026.html","morar-em-cape-coral-florida-2026","Morar em Cape Coral em 2026: custo, canais, famílias e sudoeste da Flórida | FamiliaUSA1","Guia para brasileiros sobre morar em Cape Coral em 2026: custo de vida, aluguel, casas, canais, trabalho, escolas, carro, furacões e comparação com Fort Myers.","article","trabalho","Sudoeste da Flórida","Sudoeste da Flórida","","2026-06-02","2026-06-02","947","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","6","1","recebe links","https://familiausa1.com/articles/morar-em-cape-coral-florida-2026.html","publicado","informacional/pratica","Morar em Cape Coral 2026: custo, canais, famílias e sudoeste da Flórida","","nao informado","sem acao recente registrada","atual","baixo","possivel sobreposicao: morar-em-clermont-florida-2026","avaliar diferenciacao editorial","baixa","clusters complementares: cidades; custo de vida"
"ART-0074","articles/morar-em-clearwater-florida-2026.html","https://familiausa1.com/articles/morar-em-clearwater-florida-2026.html","morar-em-clearwater-florida-2026","Morar em Clearwater em 2026: custo, praia, trabalho e vida perto de Tampa | FamiliaUSA1","Guia para brasileiros sobre morar em Clearwater em 2026: custo de vida, aluguel, praia, trabalho, escolas, carro, Tampa Bay e comparação com Tampa e St. Petersburg.","article","trabalho","Tampa Bay","Tampa Bay","","2026-06-02","2026-06-02","959","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","6","0","orfao","https://familiausa1.com/articles/morar-em-clearwater-florida-2026.html","publicado","informacional/pratica","Morar em Clearwater 2026: custo, praia, trabalho e vida perto de Tampa","","nao informado","sem acao recente registrada","atual","baixo","possivel sobreposicao: morar-em-st-petersburg-florida-2026","avaliar diferenciacao editorial","alta","clusters complementares: cidades; custo de vida"
"ART-0075","articles/morar-em-clermont-florida-2026.html","https://familiausa1.com/articles/morar-em-clermont-florida-2026.html","morar-em-clermont-florida-2026","Morar em Clermont FL em 2026: custo e famílias","Veja como é morar em Clermont, Flórida, em 2026, com custo de vida, aluguel, famílias, escolas, carro e comparação com Orlando.","article","orlando e viagem","Cidades perto de Orlando","Cidades perto de Orlando","","2026-06-02","2026-07-10","877","/categorias/orlando-e-viagem.html","/articles/guia-completo-orlando-2026-brasileiros.html","7","3","recebe links","https://familiausa1.com/articles/morar-em-clermont-florida-2026.html","atualizado","informacional/pratica","Morar em Clermont na Flórida 2026: custo, famílias e distância de Orland","clermont florida","3 clicks / 111 impressoes; prioridade media/alta","otimizado PR #18; observar 28 dias","recente","baixo","possivel sobreposicao: morar-em-cape-coral-florida-2026; morar-em-delray-beach-2026","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: custo de vida; moradia"
"ART-0076","articles/morar-em-davenport-florida-2026.html","https://familiausa1.com/articles/morar-em-davenport-florida-2026.html","morar-em-davenport-florida-2026","Morar em Davenport na Flórida em 2026: aluguel e distância de Orlando | FamiliaUSA1","Guia para brasileiros sobre morar em Davenport na Flórida em 2026: custo de vida, aluguel, distância de Orlando, trabalho, escolas, carro e comparação com Kissimmee.","article","orlando e viagem","Cidades perto de Orlando","Cidades perto de Orlando","","2026-06-02","2026-06-02","828","/categorias/orlando-e-viagem.html","/articles/guia-completo-orlando-2026-brasileiros.html","5","5","recebe links","https://familiausa1.com/articles/morar-em-davenport-florida-2026.html","precisa atualizar","informacional/pratica","Morar em Davenport na Flórida 2026: aluguel, distância de Orlando e vida","","nao informado","sem acao recente registrada","atual","baixo","possivel sobreposicao: davenport-ou-orlando-onde-morar-2026","avaliar diferenciacao editorial","media","clusters complementares: cidades; custo de vida"
"ART-0077","articles/morar-em-deerfield-beach-2026.html","https://familiausa1.com/articles/morar-em-deerfield-beach-2026.html","morar-em-deerfield-beach-2026","Morar em Deerfield Beach em 2026: brasileiros, custo, praia e aluguel | FamiliaUSA1","Guia para brasileiros sobre morar em Deerfield Beach em 2026: comunidade brasileira, custo de vida, aluguel, trabalho, praia, escolas, carro e comparação com Boca Raton.","article","trabalho","South Florida brasileira","South Florida brasileira","","2026-06-02","2026-06-02","1422","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","7","8","recebe links","https://familiausa1.com/articles/morar-em-deerfield-beach-2026.html","publicado","informacional/pratica","Morar em Deerfield Beach 2026: brasileiros, custo, praia e aluguel","","nao informado","sem acao recente registrada","atual","baixo","possivel sobreposicao: morar-em-pompano-beach-2026","avaliar diferenciacao editorial","baixa","clusters complementares: cidades; custo de vida"
"ART-0078","articles/morar-em-delray-beach-2026.html","https://familiausa1.com/articles/morar-em-delray-beach-2026.html","morar-em-delray-beach-2026","Morar em Delray Beach em 2026: custo, praia, famílias e South Florida | FamiliaUSA1","Guia para brasileiros sobre morar em Delray Beach em 2026: custo de vida, aluguel, praia, famílias, trabalho, escolas, carro e comparação com Boca Raton e Deerfield Beach.","article","trabalho","South Florida","South Florida","","2026-06-02","2026-06-02","1034","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","6","3","recebe links","https://familiausa1.com/articles/morar-em-delray-beach-2026.html","publicado","informacional/pratica","Morar em Delray Beach 2026: custo, praia, famílias e South Florida","","nao informado","sem acao recente registrada","atual","baixo","possivel sobreposicao: morar-em-clermont-florida-2026; morar-em-west-palm-beach-2026","avaliar diferenciacao editorial","baixa","clusters complementares: cidades; custo de vida"
"ART-0079","articles/morar-em-fort-myers-florida-2026.html","https://familiausa1.com/articles/morar-em-fort-myers-florida-2026.html","morar-em-fort-myers-florida-2026","Morar em Fort Myers em 2026: custo, trabalho, praia e sudoeste da Flórida | FamiliaUSA1","Guia para brasileiros sobre morar em Fort Myers em 2026: custo de vida, aluguel, trabalho, praia, escolas, carro, furacões e comparação com Cape Coral e Naples.","article","trabalho","Sudoeste da Flórida","Sudoeste da Flórida","","2026-06-02","2026-06-02","944","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","6","0","orfao","https://familiausa1.com/articles/morar-em-fort-myers-florida-2026.html","publicado","informacional/pratica","Morar em Fort Myers 2026: custo, trabalho, praia e sudoeste da Flórida","","nao informado","sem acao recente registrada","atual","baixo","baixo","manter e fortalecer links internos","alta","clusters complementares: cidades; custo de vida"
"ART-0080","articles/morar-em-framingham-massachusetts-2026.html","https://familiausa1.com/articles/morar-em-framingham-massachusetts-2026.html","morar-em-framingham-massachusetts-2026","Morar em Framingham: custo e comunidade brasileira em 2026","Veja como é morar em Framingham em 2026, com custo de vida, aluguel, trabalho, escolas, comércio em português e comparação com Boston.","article","trabalho","Massachusetts","Massachusetts","","2026-06-04","2026-07-10","1363","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","3","6","recebe links","https://familiausa1.com/articles/morar-em-framingham-massachusetts-2026.html","atualizado","informacional/pratica","Morar em Framingham 2026: custo, trabalho e comunidade brasileira","framingham","2 clicks / 208 impressoes; prioridade alta","otimizado PR #18; observar 28 dias","recente","baixo","possivel sobreposicao: morar-em-worcester-massachusetts-2026","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: cidades; custo de vida"
"ART-0081","articles/morar-em-manchester-new-hampshire-2026.html","https://familiausa1.com/articles/morar-em-manchester-new-hampshire-2026.html","morar-em-manchester-new-hampshire-2026","Morar em Manchester NH em 2026: custo e trabalho","Veja como é morar em Manchester, New Hampshire, em 2026, com custo de vida, aluguel, trabalho, inverno e comparação com Boston.","article","trabalho","New Hampshire","New Hampshire","","2026-06-02","2026-07-10","1340","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","3","1","recebe links","https://familiausa1.com/articles/morar-em-manchester-new-hampshire-2026.html","atualizado","informacional/pratica","Morar em Manchester NH 2026: custo, trabalho e vida em New Hampshire","new hampshire; manchester new hampshire","0 clicks / 102 impressoes; prioridade alta","otimizado PR #18; observar 28 dias","recente","baixo","possivel sobreposicao: morar-em-boston-2026","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: cidades; custo de vida"
